osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w417078326,East Middlefield Road037,highway,secondary,road,3,37.3930938,-122.0507262,1.8243,-2.0767,0,0
w417078332,East Middlefield Road038,highway,secondary,road,3,37.3906732,-122.0482963,2.0389,-2.3459,0,0
w417078338,East Middlefield Road039,highway,secondary,road,4,37.3908692,-122.0482489,2.0431,-2.3241,0,0
w417078354,East Middlefield Road040,highway,secondary,road,6,37.3890969,-122.0475106,2.1083,-2.5211,0,0
w417078360,Ellis Street013,highway,secondary,road,3,37.4007988,-122.0519015,1.7204,-1.2199,0,0
w417078368,Ellis Street014,highway,secondary,road,2,37.3965194,-122.0535302,1.5766,-1.6958,0,0
w417078375,Ellis Street015,highway,secondary,road,2,37.3958578,-122.0538708,1.5465,-1.7694,0,0
w417078381,Ellis Street016,highway,secondary,road,4,37.4028183,-122.0512205,1.7806,-0.9954,0,0
w417078386,Ellis Street017,highway,secondary,road,8,37.4015938,-122.0516147,1.7458,-1.1315,0,0
w417078406,Manila Avenue002,highway,secondary,road,8,37.4017829,-122.0391571,2.8460,-1.1105,0,0
w417078411,Manila Avenue003,highway,secondary,road,2,37.4041512,-122.0494054,1.9409,-0.8472,0,0
w417081397,secondary007,highway,secondary,road,2,37.3943608,-122.0466882,2.1809,-1.9358,0,0
w417081398,secondary008,highway,secondary,road,2,37.3946403,-122.0462884,2.2162,-1.9047,0,0
w417081400,Ferguson Drive001,highway,tertiary,road,2,37.3933691,-122.0508114,1.8167,-2.0461,0,0
w417081402,Ferguson Drive002,highway,tertiary,road,5,37.3931171,-122.0510778,1.7932,-2.0741,0,0
w417081404,Logue Avenue002,highway,tertiary,road,2,37.3943060,-122.0516668,1.7412,-1.9419,0,0
w417081406,Logue Avenue003,highway,tertiary,road,3,37.3944620,-122.0514210,1.7629,-1.9246,0,0
w417091899,North Rengstorff Avenue007,highway,secondary,road,2,37.4032457,-122.0974355,-2.3012,-0.9479,0,0
w417091904,North Rengstorff Avenue008,highway,secondary,road,5,37.4034745,-122.0973070,-2.2898,-0.9224,0,0
w417091909,South Rengstorff Avenue002,highway,secondary,road,2,37.4027541,-122.0976213,-2.3176,-1.0025,0,0
w417091919,South Rengstorff Avenue003,highway,secondary,road,3,37.4025763,-122.0977616,-2.3300,-1.0223,0,0
w417091923,South Rengstorff Avenue004,highway,secondary,road,11,37.4012504,-122.0985791,-2.4022,-1.1697,0,0
w417092452,Central Expressway018,highway,trunk,road,2,37.4032828,-122.0973423,-2.2929,-0.9437,0,0
w417092455,Central Expressway019,highway,trunk,road,2,37.4039896,-122.0995064,-2.4841,-0.8651,0,0
w417092456,Central Expressway020,highway,trunk,road,4,37.4006163,-122.0904615,-1.6852,-1.2402,0,0
w417092457,Central Expressway021,highway,trunk,road,3,37.3969341,-122.0808275,-0.8343,-1.6497,0,0
w417092458,Central Expressway022,highway,trunk,road,3,37.3974550,-122.0826173,-0.9924,-1.5918,0,0
w417092459,Central Expressway023,highway,trunk,road,4,37.3970252,-122.0815723,-0.9001,-1.6395,0,0
w417092460,Central Expressway024,highway,trunk,road,4,37.4031827,-122.0970337,-2.2657,-0.9549,0,0
w417092461,Central Expressway025,highway,trunk,road,4,37.4032879,-122.0977316,-2.3273,-0.9432,0,0
w417092462,Central Expressway026,highway,trunk,road,3,37.4007078,-122.0910722,-1.7391,-1.2301,0,0
w417092463,Central Expressway027,highway,trunk,road,4,37.3995308,-122.0880756,-1.4745,-1.3609,0,0
w417092466,Central Expressway028,highway,trunk,road,3,37.3976063,-122.0825063,-0.9826,-1.5749,0,0
w417092471,Central Expressway029,highway,trunk,road,4,37.4020690,-122.0940649,-2.0035,-1.0787,0,0
w417092476,Central Expressway030,highway,trunk,road,4,37.3976948,-122.0832370,-1.0471,-1.5651,0,0
w417092489,Central Expressway031,highway,trunk,road,4,37.3971880,-122.0814594,-0.8901,-1.6214,0,0
w417092499,Central Expressway032,highway,trunk,road,2,37.4031679,-122.0974088,-2.2988,-0.9565,0,0
w417092504,Central Expressway033,highway,trunk,road,3,37.3977781,-122.0829497,-1.0218,-1.5558,0,0
w417094186,North Shoreline Boulevard034,highway,primary,road,4,37.3998870,-122.0808311,-0.8346,-1.3213,0,0
w417094189,North Shoreline Boulevard035,highway,primary,road,5,37.3994934,-122.0808771,-0.8387,-1.3651,0,0
w417094191,North Shoreline Boulevard036,highway,primary,road,4,37.4005837,-122.0802772,-0.7857,-1.2439,0,0
w417094195,North Shoreline Boulevard037,highway,primary,road,4,37.3980816,-122.0813933,-0.8843,-1.5221,0,0
w417094198,South Shoreline Boulevard002,highway,primary,road,2,37.3924087,-122.0851004,-1.2117,-2.1529,0,0
w417094199,South Shoreline Boulevard003,highway,primary,road,2,37.3963696,-122.0826784,-0.9978,-1.7125,0,0
w417094203,South Shoreline Boulevard004,highway,primary,road,2,37.3936584,-122.0845965,-1.1672,-2.0139,0,0
w417094205,South Shoreline Boulevard005,highway,primary,road,4,37.3953156,-122.0833035,-1.0530,-1.8296,0,0
w417094210,South Shoreline Boulevard006,highway,primary,road,5,37.3901120,-122.0867445,-1.3569,-2.4083,0,0
w417094214,South Shoreline Boulevard007,highway,primary,road,4,37.3957863,-122.0832126,-1.0450,-1.7773,0,0
w417094216,South Shoreline Boulevard008,highway,primary,road,5,37.3907716,-122.0864113,-1.3275,-2.3349,0,0
w417094217,South Shoreline Boulevard009,highway,primary,road,5,37.3898670,-122.0871422,-1.3920,-2.4355,0,0
w417094219,South Shoreline Boulevard010,highway,primary,road,2,37.3956110,-122.0831030,-1.0353,-1.7968,0,0
w417094221,South Shoreline Boulevard011,highway,primary,road,4,37.3929347,-122.0850477,-1.2071,-2.0944,0,0
w417094223,South Shoreline Boulevard012,highway,primary,road,7,37.3912146,-122.0858880,-1.2813,-2.2857,0,0
w417095007,California Street010,highway,secondary,road,4,37.3967799,-122.0943789,-2.0312,-1.6668,0,0
w417095009,California Street011,highway,secondary,road,3,37.3917658,-122.0818678,-0.9262,-2.2244,0,0
