osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w188147861,primary_link59,highway,primary_link,road,2,25.2799096,51.5352887,0.1966,-0.7514,0,0
w188147862,primary_link60,highway,primary_link,road,2,25.2799262,51.5353255,0.2003,-0.7495,0,0
w188147863,primary_link61,highway,primary_link,road,2,25.2799501,51.5353783,0.2056,-0.7469,0,0
w188147865,primary_link62,highway,primary_link,road,2,25.2798636,51.5353044,0.1982,-0.7565,0,0
w188147866,primary_link63,highway,primary_link,road,2,25.2798478,51.5353595,0.2037,-0.7583,0,0
w188147868,primary_link64,highway,primary_link,road,2,25.2799091,51.5353880,0.2066,-0.7514,0,0
w188147869,primary_link65,highway,primary_link,road,2,25.2798691,51.5354000,0.2078,-0.7559,0,0
w188147870,شارع وادي مشريب05,highway,tertiary,road,2,25.2853743,51.5308859,-0.2460,-0.1437,0,0
w188147872,عبد العزيز بن احمد02,highway,tertiary,road,8,25.2802125,51.5287471,-0.4611,-0.7177,0,0
w188220917,علي بن عمر العطية11,highway,primary,road,2,25.2867448,51.5441722,1.0898,0.0087,0,0
w188220919,علي بن عمر العطية12,highway,primary,road,2,25.2867539,51.5439810,1.0706,0.0097,0,0
w188220920,شارع المتحف06,highway,tertiary,road,2,25.2867930,51.5440277,1.0752,0.0140,0,0
w188220922,شارع المتحف07,highway,tertiary,road,2,25.2867883,51.5441230,1.0848,0.0135,0,0
w188220923,شارع المتحف08,highway,tertiary,road,3,25.2867068,51.5440810,1.0806,0.0044,0,0
w188220924,primary_link66,highway,primary_link,road,8,25.2867427,51.5441103,1.0836,0.0084,0,0
w188220925,primary_link67,highway,primary_link,road,7,25.2867490,51.5440529,1.0778,0.0091,0,0
w188245880,الطريق الدائري الثالثي11,highway,trunk,road,2,25.2837900,51.5516372,1.8403,-0.3199,0,0
w188245882,motorway_link13,highway,motorway_link,highway,3,25.2840032,51.5517432,1.8510,-0.2962,0,0
w188245883,motorway_link14,highway,motorway_link,highway,3,25.2835839,51.5517401,1.8507,-0.3428,0,0
w188272179,شارع الخدري01,highway,residential,slowroad,7,25.2736898,51.5302519,-0.3098,-1.4430,0,0
w188272180,الطريق الدائري الثاني04,highway,primary,road,11,25.2747367,51.5291751,-0.4180,-1.3266,0,0
w188272185,شارع روضة الخيل04,highway,primary,road,21,25.2773505,51.5285640,-0.4795,-1.0359,0,0
w188272191,شارع روضة الخيل05,highway,primary,road,15,25.2713342,51.5269820,-0.6385,-1.7049,0,0
w188272962,سليمان الحيدر,highway,residential,slowroad,5,25.2751325,51.5270727,-0.6294,-1.2826,0,0
w188272963,سليمان الحيدر01,highway,residential,slowroad,5,25.2751582,51.5269005,-0.6467,-1.2797,0,0
w190323547,ابو هند01,highway,residential,slowroad,2,25.2730709,51.5315056,-0.1837,-1.5118,0,0
w190323548,residential13,highway,residential,slowroad,5,25.2716783,51.5284279,-0.4932,-1.6667,0,0
w190323549,ابو ايوب,highway,residential,slowroad,3,25.2754294,51.5290873,-0.4269,-1.2496,0,0
w190323550,اسعد بن زرارة01,highway,residential,slowroad,2,25.2695037,51.5243627,-0.9019,-1.9085,0,0
w190323551,سنان بن ثابت02,highway,residential,slowroad,2,25.2693665,51.5260205,-0.7352,-1.9237,0,0
w190323552,الزوراء,highway,residential,slowroad,2,25.2725749,51.5315158,-0.1827,-1.5670,0,0
w190323554,العروبة02,highway,residential,slowroad,2,25.2718230,51.5301774,-0.3173,-1.6506,0,0
w190323555,نواف,highway,residential,slowroad,2,25.2756908,51.5266997,-0.6669,-1.2205,0,0
w190323559,عاصم بن علي01,highway,residential,slowroad,5,25.2703134,51.5320713,-0.1269,-1.8184,0,0
w190323560,service111,highway,service,driveway,2,25.2744412,51.5218196,-1.1576,-1.3594,0,0
w190323561,ضرار بن الخطاب,highway,residential,slowroad,2,25.2730314,51.5297775,-0.3575,-1.5162,0,0
w190323562,المهند,highway,residential,slowroad,2,25.2712766,51.5301793,-0.3171,-1.7113,0,0
w190323564,الدسمة,highway,residential,slowroad,4,25.2697333,51.5329628,-0.0372,-1.8829,0,0
w190323565,ابو محجن01,highway,residential,slowroad,5,25.2716068,51.5322817,-0.1057,-1.6746,0,0
w190323566,service112,highway,service,driveway,2,25.2756560,51.5272310,-0.6135,-1.2244,0,0
w190323567,الخرائج,highway,residential,slowroad,3,25.2701499,51.5288602,-0.4497,-1.8366,0,0
w190323568,بو محرز,highway,residential,slowroad,4,25.2714968,51.5313718,-0.1972,-1.6868,0,0
w190323570,الصويريات,highway,residential,slowroad,2,25.2769684,51.5258066,-0.7567,-1.0784,0,0
w190323571,المرمر,highway,residential,slowroad,3,25.2717214,51.5314557,-0.1887,-1.6619,0,0
w190323573,service113,highway,service,driveway,39,25.2756608,51.5274749,-0.5890,-1.2238,0,0
w190323574,ابو عمير,highway,residential,slowroad,4,25.2686997,51.5250542,-0.8323,-1.9979,0,0
w190323575,معاذ بن جبل,highway,residential,slowroad,10,25.2753864,51.5318381,-0.1503,-1.2543,0,0
w190323576,وهب بن عمير,highway,residential,slowroad,4,25.2716178,51.5244424,-0.8939,-1.6734,0,0
w190323577,ابو جبير,highway,residential,slowroad,4,25.2713268,51.5255655,-0.7810,-1.7057,0,0
w190323579,secondary01,highway,secondary,road,7,25.2688205,51.5333796,0.0047,-1.9844,0,0
w190323582,المسك,highway,residential,slowroad,5,25.2701489,51.5282225,-0.5138,-1.8367,0,0
w190323583,service114,highway,service,driveway,5,25.2735899,51.5346152,0.1289,-1.4541,0,0
w190323584,الروضتين,highway,residential,slowroad,4,25.2693626,51.5313923,-0.1951,-1.9242,0,0
w190323585,الينبوع,highway,residential,slowroad,4,25.2713037,51.5352585,0.1936,-1.7083,0,0
w190323586,زياد بن عياض01,highway,residential,slowroad,5,25.2757912,51.5308336,-0.2513,-1.2093,0,0
w190323587,الابنوس,highway,residential,slowroad,7,25.2696275,51.5280096,-0.5352,-1.8947,0,0
w207632641,شارع المطار23,highway,unclassified,road,4,25.2700130,51.5482429,1.4990,-1.8518,0,0
w207632642,شارع المطار24,highway,unclassified,road,2,25.2698976,51.5481949,1.4942,-1.8647,0,0
w207632643,شارع المطار25,highway,unclassified,road,10,25.2731993,51.5436923,1.0415,-1.4975,0,0
w207632644,شارع المطار26,highway,unclassified,road,4,25.2699544,51.5483213,1.5069,-1.8584,0,0
w211967757,service115,highway,service,driveway,21,25.2873712,51.5314524,-0.1891,0.0783,0,0
w211967758,service116,highway,service,driveway,13,25.2870580,51.5306019,-0.2746,0.0435,0,0
w211967868,service117,highway,service,driveway,3,25.2876850,51.5312679,-0.2076,0.1132,0,0
