osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w428078147,Northeast 40th Street013,highway,secondary,road,3,47.6460543,-122.1326044,116.3527,-765.3315,0,0
w428230439,footway153,highway,footway,walkway,3,47.6460711,-122.1401416,649.9536,-580.0090,0,0
w428230440,footway154,highway,footway,walkway,2,47.6536476,-122.1410728,988.9657,-1354.8103,0,0
w428230442,service130,highway,service,driveway,2,47.6521647,-122.1417576,983.9290,-1181.6336,0,0
w428230443,service131,highway,service,driveway,2,47.6533428,-122.1421100,1051.3209,-1296.9591,0,0
w428230444,service132,highway,service,driveway,2,47.6526322,-122.1425989,1060.2756,-1209.9917,0,0
w428230446,footway155,highway,footway,walkway,3,47.6536455,-122.1408783,975.1370,-1359.4207,0,0
w428230447,service133,highway,service,driveway,3,47.6528011,-122.1412813,973.1891,-1260.4900,0,0
w428230448,footway156,highway,footway,walkway,3,47.6535632,-122.1410117,981.6044,-1347.4376,0,0
w428230451,service134,highway,service,driveway,2,47.6517552,-122.1416011,958.0980,-1142.4036,0,0
w428230458,service135,highway,service,driveway,4,47.6530629,-122.1414249,992.7848,-1284.4952,0,0
w428230460,service136,highway,service,driveway,8,47.6524339,-122.1426089,1053.8328,-1188.8641,0,0
w428230463,service137,highway,service,driveway,3,47.6522582,-122.1425053,1040.1713,-1172.9316,0,0
w428230465,service138,highway,service,driveway,6,47.6517304,-122.1416716,962.1846,-1138.0395,0,0
w428230467,service139,highway,service,driveway,9,47.6523963,-122.1425856,1050.8268,-1185.4765,0,0
w428317255,footway157,highway,footway,walkway,2,47.6520413,-122.1331339,369.6482,-1382.7066,0,0
w428317257,footway158,highway,footway,walkway,3,47.6498683,-122.1347284,404.0613,-1114.2765,0,0
w428375881,cycleway009,highway,cycleway,walkway,2,47.6385330,-122.1356232,58.6526,101.7118,0,0
w428376382,footway159,highway,footway,walkway,9,47.6544974,-122.1401804,956.4938,-1466.4575,0,0
w428376383,footway160,highway,footway,walkway,2,47.6544115,-122.1391522,880.6928,-1482.9400,0,0
w428376385,footway161,highway,footway,walkway,3,47.6546896,-122.1390315,882.1822,-1515.2189,0,0
